Kung may aki ako katulad ng kaibigan mo sa ganda at maliwanag, bakit kailangan ko bang magtayo ng nightlife?"

2. "Can't you open your heart to me even just a little, with whatever love you can spare?"
Tagalog: "Hindi ba dapat ikaw ay pahiwatigin ang loob mo sa akin kahit minsan, tulungan mo ako?"

3. "And to prove you're proud of me, why don't we have our picnic in your clubhouse?"
Tagalog: "At para ikaw ay naniniwala na narsikyo ka sa akin, bakit hindi kami magsayang maglalakbay ng piknik sa aking clubhouse?"

4. "You think people will buy that juice drink you're holding if you're as listless and lifeless as that?"
Tagalog: "Ano ba ang masasabi nila kung kinuha mo ang juice drink na naniniwala ka rin, kung hindi ka na nagnanasa?"

5. "Sir, since the last victim is alive, will the case be finally solved?"
Tagalog: "Sir, kasi ang huli na biktima ay buhay pa, bakit hindi ito matatapos na sulat sa kasong ito?"

6. "If there's nothing wrong, then why doesn't she remember anything?"
Tagalog: "Kung wala lang nangyayari, ano ba ang nagiging dahilan kung bakit hindi siya lumalagay ng pagkakataon?"

7. "When I asked this question, were you excited?"
Tagalog: "Naniniwala ka ba sa tanong na kinuha ko, o masaya ka na sila?"

8. "If you don't study and earn, how will she marry?"
Tagalog: "Kung hindi ka nag-aral at nag-angat ng pera, bakit sino ang magiging asawa kay akin?"

9. "With such fear of tomorrow, how'll you live today?"
Tagalog: "Sa hirak-phirak na loob sa kalesa natin ngayon, paano ba kami ng magsagawa ng araw-araw?"

10. "Starting today, to avoid confusion we'll go by our first names, okay?"
Tagalog: "Simula ngayon, para hindi lamang pagkakamali, kami ay pumili na magtayo ng pangalan at ng mga kapwa naming pangalan."

11. "You should go talk to her, unless you're scared?"
Tagalog: "Kailangan ka bang sumapit sa kanya, o paano ba sila ang naniniwala?"

12. "Architect, since you're here, why don't you try your suit on?"
Tagalog: "Aristarkong arkitekto, kasi kaayo ka dito, bakit hindi kami nag-try ng damit mo?"

13. "Will someone get mad if we go out tomorrow?"
Tagalog: "Ano ba ang masasabi nila pag kami ay maglalakbay sa kalimutan natin buwan?"

14. "First, he tied you down to a debt of gratitude, then he imprisoned you in his loneliness."
Tagalog: "Unang paano siya ay nagtulungan ka sa utang ng pagkagalang-kagalang, kalaunan ay pinipilit na kaagapay ka sa kanyang kalimutan."

15. "Where did your shame go when you went out with both my husband and son?"
Tagalog: "Saan ba ang kabutuan mo nang magsama ka sa lahat ng aking asawa at anak?"

16. "I'm sorry, did I just say that all out loud?"
Tagalog: "Maliwanag ko na siya, bakit ako ang nag-akala?"

17. "How come the only time you actually make sense is when it involves me humiliating myself?"
Tagalog: "Ano ba ang masasabi nila kung bakit sa pagkakaibigan lang ng akin ko kayo lamang ginagawa ng sige, o paano sila ang naniniwala?"

18. "Well, did you see him go back in the bar after he called Detective Winters?"
Tagalog: "Kasi ba siya nagbalik sa pag-imbisok natin ng paghuli ng balangkas kung siyang tinawagan ni Detektibong Winters?"

19. "Did you check the house phone to see if we had any messages?"
Tagalog: "Nag-aalala ka ba na kami ay nagpasko sa bahay nating telepono para makita ang mga mensahe?"

20. "Will you do the same thing to me if I am in Mom's condition?"
Tagalog: "Kailangan ba ka maglaro pa sa akin, kung ako ay nasa katanyagan ng amin?"

21. "If you could tell your parents one more time, do you think you could change their mind?"
Tagalog: "Papayag ba ka na makatuon mo ang pag-iisip mo sa mga magulang mo isang manlang muling maubos ang kanilang loob?"

22. "How can you lecture me when you're setting her up for disaster all over again?"
Tagalog: "Ano ba ang masasabi nila kung bakit ka ay nagpapaalis ng isang pagkakataon sa akin habang kayo ay nagsisimulang maagap ng sakripisyo?"

23. "Was the video intentionally cut because you wanted to ruin me?"
Tagalog: "Kanais-nais ba ang paghihina-kita ng video, o kaya kung bakit ka nagnanasa na magtrabaho sa akin?"

24. "If you go skydiving, why are you scared of this?"
Tagalog: "Kung saan ka ay hinihikayat na sumakip-pakay sa buong tapatog, bakit ka ba naniniwala ka na nagsasagasa ka?"

25. "Well, but where would we be if everyone thought like that?"
Tagalog: "Kasi ba sino kami kung ang lahat ay naniniwala na pareho?"

26. "So, if someone's coming after the 110, how come they haven't made a run at the three of us yet?"
Tagalog: "Kaso ba kung mayroong isang lalong nagtatanong sa aming lugar, bakit wala pa sila nagpasya ng pag-imbisok sa akin?"

27. "I don't know, if you're gonna spend the rest of your life with somebody, don't you want to feel something more than comfort?"
Tagalog: "Kahit sino ba ang alam kung bakit ako ay hindi naniniwala, kaya kailangan pa ba kong makarating sa katanyagan?"

28. "I thought it was so cool how he could talk to fish, 'cause I wanted to talk to my dog, you know?"
Tagalog: "Nag-alala ko na siya ang mabilis kung gaano ka laki ng gabi niya na pag-a-ibig sa pagbabasa niya."

29. "If I give it to you and ask you to stop, would you stop?"
Tagalog: "Kaya ba ba ikaw ay maghinto kung ako ang nagsasagawa ng isang bagay?"

30. "And then, when we had our second child, you know what he did?"
Tagalog: "At pagkakaiba ka ng pang-ibig natin sa unang anak natin, kaya ba ka magawa ng kung ano ang ginawa niya?"

31. "If you're Prince Charles, then who am I?"
Tagalog: "Kahit sino ba ka na si Prince Charles, bakit ako ba hindi ka ang isinilang?"

32. "But wait, where did you drop off my daughter when she left this bag?"
Tagalog: "Nananatili ko na saan ka nagsimulang bumili ng bag na huli niya, at nag-ibig kung sino ang natutuwa?"

33. "Why are you asking for my relatives' photos when you're yearning for your relatives?"
Tagalog: "Kasama ba ang pagtatanong mo sa mga kaibigan ko sa isang bagay na kailangan ba ikaw ay maghihintay sa mga kaibigan mo?"

34. "Why do you have to escape when nobody's preventing you from leaving?"
Tagalog: "Ano ba ang masasabi nila pag kami ay nagpasya ng pagbuo at paano kung wala silang makasaysay na magbigay ng pagtangka sa akin?"

35. "So what are you gonna do now that you're out in the open?"
Tagalog: "Kaso ba kung mayroong isang lalong nagtatanong sa aming lugar, bakit paano sila ang nagsisimulang maglaro ng bagay."

36. "And now that the writing's on the wall, you wanna surrender?"
Tagalog: "Kasi ba siya ay naniniwala na nakalagay na ang salita sa parapatan, kaya ba ka nagpasya ng pag-ibig?"

37. "Should we carry out a ritual when he gets discharged?"
Tagalog: "Kanais-nais ba na magkaroon ng isang rituals nung siya ay napagsimula?"

38. "Can you just not touch the stuff until everything's accounted for?"
Tagalog: "Papayag ba ka na hindi kailangan mong tahanan ang bagay sa pagkakamit ng lahat?"
